path,frame,backend,kinema_err_mm,kinema_jump_deg,kinema_violation_deg,kinema_numpy_err_mm,kinema_numpy_jump_deg,kinema_numpy_violation_deg,blender_limited_err_mm,blender_limited_jump_deg,blender_limited_violation_deg,blender_unlimited_err_mm,blender_unlimited_jump_deg,blender_unlimited_violation_deg
through_singularity_y,10,PyRoki,9.541398640621973e-05,0.9459146057023584,0.0,0.001678283591492815,0.9459026528713108,0.0,0.00018907453925087332,0.9459060679658958,0.0,0.00018907453925087332,0.9459060679658958,0.0
through_singularity_y,11,PyRoki,0.00028468628487799763,0.9532690118911696,0.0,0.001723968397889458,0.9532587666074146,0.0,0.00019140888122715248,0.9532638892492923,0.0,0.00019140888122715248,0.9532638892492923,0.0
through_singularity_y,12,PyRoki,0.00021811248612857532,0.9601333520070324,0.0,0.0021550603139151247,0.9601333520070324,0.0,0.00016924465733171324,0.9601384746489099,0.0,0.00016924465733171324,0.9601384746489099,0.0
through_singularity_y,13,PyRoki,0.00016049041769309352,0.9665144562391168,0.0,0.002159177742800707,0.9664973807661918,0.0,0.00020047462056687042,0.9665025034080693,0.0,0.00020047462056687042,0.9665025034080693,0.0
through_singularity_y,14,PyRoki,6.143906154658885e-05,0.9723354849592603,0.0,0.002407586844034487,0.9723406076011377,0.0,0.00016858739404357613,0.9723406076011377,0.0,0.00016858739404357613,0.9723406076011377,0.0
through_singularity_y,15,PyRoki,0.00017120130796843851,0.9776425419443601,0.0,0.002516002711009612,0.9776237589241425,0.0,0.00021542358837725164,0.9776322966606049,0.0,0.00021542358837725164,0.9776322966606049,0.0
through_singularity_y,16,PyRoki,0.0002827296549232345,0.9823553724716689,0.0,0.0029124432960559287,0.9823570800189614,0.0,0.00016049041769309352,0.9823613488871926,0.0,0.00016049041769309352,0.9823613488871926,0.0
through_singularity_y,17,PyRoki,3.332000937312528e-05,0.9865252029599617,0.0,0.0033039271818124964,0.9865166652234992,0.0,0.00034882724019049484,0.9865192265444379,0.0,0.00034882724019049484,0.9865192265444379,0.0
through_singularity_y,18,PyRoki,8.429369702178807e-05,0.9900880003857696,0.0,0.0034123659133911133,0.9900880003857696,0.0,0.00031715328475524134,0.9900914154803544,0.0,0.00031715328475524134,0.9900914154803544,0.0
through_singularity_y,19,PyRoki,0.000137381918091966,0.9930762081476504,0.0,0.003781960506252123,0.9930676704111877,0.0,0.00016924465733171324,0.993071939279419,0.0,0.00016924465733171324,0.993071939279419,0.0
through_singularity_y,20,PyRoki,0.0001341104507446289,0.9954394536004746,0.0,0.004016243055415592,0.9954385998268284,0.0,0.00031715328475524134,0.9954445762423523,0.0,0.00031715328475524134,0.9954445762423523,0.0
through_singularity_y,21,PyRoki,0.00018128044993574082,0.9972144490110316,0.0,0.00465987210655331,0.997215302784678,0.0,0.00025331974029541016,0.9972170103319704,0.0,0.00025331974029541016,0.9972170103319704,0.0
through_singularity_y,22,PyRoki,0.00019371509552001953,0.9983781424908725,0.0,0.005024873944671656,0.9983670434334712,0.0,0.00021542358837725164,0.9983755811699339,0.0,0.00021542358837725164,0.9983755811699339,0.0
through_singularity_y,23,PyRoki,0.00021542358837725164,0.998929253379528,0.0,0.005788118177412556,0.9989215694167117,0.0,0.00018128044993574082,0.9989266920585892,0.0,0.00018128044993574082,0.9989266920585892,0.0
through_singularity_y,24,PyRoki,9.064022496787041e-05,0.9988665010165285,0.0,0.006603097808429319,0.9988613783746509,0.0,0.00019082797281243946,0.9988652203560591,0.0,0.00019082797281243946,0.9988652203560591,0.0
through_singularity_y,25,PyRoki,4.214684851089403e-05,0.9982086684220917,0.0,0.007608950803675733,0.9982001306856291,0.0,0.00020047462056687042,0.9982052533275066,0.0,0.00020047462056687042,0.9982052533275066,0.0
through_singularity_y,26,PyRoki,0.0002528810910653642,0.9969435893217583,0.0,0.008750014636272913,0.9969393204535271,0.0,0.00013328003749250113,0.9969429489915237,0.0,0.00013328003749250113,0.9969429489915237,0.0
through_singularity_y,27,PyRoki,6.664001874625056e-05,0.9950900467357461,0.0,0.009463821207237625,0.9951017861233821,0.0,0.00017120130796843851,0.995091540839627,0.0,0.00017120130796843851,0.995091540839627,0.0
